,Position,Player,Age,Conference,PPG,RPG,APG,BPG,SPG,GP,W%
101,G,Jrue Holiday 2019-20,29,West,19.6176,4.8529,6.5,0.7353,1.7059,34.0,0.3721
102,G,Rodney Hood 2019-20,27,West,10.9524,3.4286,1.5238,0.1905,0.8095,21.0,0.4186
103,G,Talen Horton-Tucker 2019-20,19,West,0.0,0.0,1.0,0.0,0.5,2.0,0.8049
104,G,Danuel House 2019-20,26,West,10.2059,3.9118,1.2353,0.5,0.8824,34.0,0.65
105,G,Kevin Huerter 2019-20,21,East,11.8387,4.1613,3.5161,0.4839,0.9355,31.0,0.2381
106,G,Chandler Hutchison 2019-20,23,East,5.875,2.9375,0.5625,0.3125,0.6875,16.0,0.3488
107,G,Kyrie Irving 2019-20,27,East,27.2143,5.2857,6.9286,0.5714,1.2143,14.0,0.45
108,G,Frank Jackson 2019-20,21,West,6.2941,1.2941,0.8529,0.0588,0.3235,34.0,0.3721
109,G,Justin Jackson 2019-20,24,West,6.0789,2.4211,0.5789,0.1316,0.2368,38.0,0.6429
110,G,Reggie Jackson 2019-20,29,East,5.0,2.5,4.0,0.0,0.0,2.0,0.3571
111,G,Justin James 2019-20,23,West,2.9091,1.2273,0.5909,0.4091,0.2273,22.0,0.3659
112,G,DaQuan Jeffries 2019-20,22,West,1.0,0.5,0.5,0.0,0.0,2.0,0.3659
113,G,Ty Jerome 2019-20,22,West,3.5,1.4167,1.9167,0.0,0.9167,12.0,0.4146
114,G,B.J. Johnson 2019-20,24,East,2.75,1.0,0.5,0.0,0.5,4.0,0.4762
115,G,Keldon Johnson 2019-20,20,West,1.0,1.0,0.0,0.0,0.0,2.0,0.425
116,G,Tyler Johnson 2019-20,27,West,5.7143,1.8214,1.6786,0.25,0.3571,28.0,0.4146
117,G,Tyus Jones 2019-20,23,West,6.2857,1.5238,4.6429,0.1429,0.9048,42.0,0.4762
118,G,Cory Joseph 2019-20,28,West,6.3659,2.6829,3.6098,0.3415,0.7561,41.0,0.3659
119,G,Luke Kennard 2019-20,23,East,15.7857,3.5,4.1071,0.2143,0.4286,28.0,0.3571
120,G,Brandon Knight 2019-20,28,East,4.9375,1.25,1.9375,0.125,0.3125,16.0,0.2857
121,G,John Konchar 2019-20,23,West,0.0,0.5,0.0,0.0,0.0,2.0,0.4762
122,G,Furkan Korkmaz 2019-20,22,East,8.5238,2.2381,0.7857,0.1905,0.5476,42.0,0.6279
123,G,Kyle Korver 2019-20,38,East,6.1892,1.8378,1.1892,0.1892,0.4595,37.0,0.8605
124,G,Jeremy Lamb 2019-20,27,East,13.3226,4.871,2.3548,0.4839,1.2581,31.0,0.6429
125,G,Romeo Langford 2019-20,20,East,2.2727,1.0,0.1818,0.1818,0.2727,11.0,0.675
126,G,Zach LaVine 2019-20,24,East,24.6047,4.6977,4.0,0.4419,1.3488,43.0,0.3488
127,G,Jalen Lecque 2019-20,19,West,0.0,0.0,0.0,0.0,0.0,1.0,0.4146
128,G,Courtney Lee 2019-20,34,West,3.3,0.5,0.3,0.2,0.0,10.0,0.6429
129,G,Damion Lee 2019-20,27,West,12.6667,5.2593,2.4815,0.0741,0.8889,27.0,0.2093
130,G,Caris LeVert 2019-20,25,East,15.4,4.0667,3.4,0.1333,0.6667,15.0,0.45
131,G,Damian Lillard 2019-20,29,West,26.9512,4.0976,7.6341,0.3659,0.9756,41.0,0.4186
132,G,Kyle Lowry 2019-20,33,East,20.1667,4.4667,7.8333,0.4333,1.2,30.0,0.6585
133,G,Daryl Macon 2019-20,24,East,0.75,0.0,0.25,0.0,0.0,4.0,0.7073
134,G,Josh Magette 2019-20,30,East,1.5,0.75,0.625,0.125,0.375,8.0,0.4762
135,G,Terance Mann 2019-20,23,West,1.9259,1.0,1.0741,0.1111,0.2222,27.0,0.6977
136,G,Cody Martin 2019-20,24,East,3.8387,2.4516,1.1935,0.1613,0.7097,31.0,0.3409
137,G,Frank Mason 2019-20,25,East,1.25,0.5,1.25,0.0,0.25,4.0,0.8605
138,G,Garrison Mathews 2019-20,23,East,6.2,1.5333,0.6667,0.0667,0.2,15.0,0.3171
139,G,Wesley Matthews 2019-20,33,East,7.125,2.475,1.375,0.15,0.65,40.0,0.8605
140,G,Patrick McCaw 2019-20,24,East,6.05,2.4,2.65,0.05,1.15,20.0,0.6585
141,G,CJ McCollum 2019-20,28,West,21.4762,4.0476,3.7857,0.6667,0.7857,42.0,0.4186
142,G,T.J. McConnell 2019-20,27,East,6.775,2.575,5.125,0.125,0.625,40.0,0.6429
143,G,Rodney McGruder 2019-20,28,West,3.5806,2.8387,0.6774,0.2258,0.5484,31.0,0.6977
144,G,Jordan McLaughlin 2019-20,23,West,5.5714,2.0,2.7143,0.0,0.7143,7.0,0.3659
145,G,Ben McLemore 2019-20,26,West,10.35,2.475,0.95,0.25,0.675,40.0,0.65
146,G,Jordan McRae 2019-20,28,East,13.32,3.44,2.8,0.52,0.68,25.0,0.3171
147,G,De'Anthony Melton 2019-20,21,West,7.8065,3.9355,3.0645,0.3548,1.3226,31.0,0.4762
